年度,積地_都道府県名,積地_港名,揚地_都道府県名,揚地_港名,サンプル数,平均_総トン数,平均_載貨重量トン数,用途_自動車専用船_サンプル数,用途_自動車専用船_総トン数,用途_自動車専用船_載貨重量トン数,用途_セメント専用船_サンプル数,用途_セメント専用船_総トン数,用途_セメント専用船_載貨重量トン数,用途_石灰石専用船_サンプル数,用途_石灰石専用船_総トン数,用途_石灰石専用船_載貨重量トン数,用途_石炭専用船_サンプル数,用途_石炭専用船_総トン数,用途_石炭専用船_載貨重量トン数,用途_コンテナ専用船_サンプル数,用途_コンテナ専用船_総トン数,用途_コンテナ専用船_載貨重量トン数,用途_RORO船_サンプル数,用途_RORO船_総トン数,用途_RORO船_載貨重量トン数,用途_その他の貨物船_サンプル数,用途_その他の貨物船_総トン数,用途_その他の貨物船_載貨重量トン数,用途_油送船_サンプル数,用途_油送船_総トン数,用途_油送船_載貨重量トン数,用途_プッシャーバージ又は台船_サンプル数,用途_プッシャーバージ又は台船_総トン数,用途_プッシャーバージ又は台船_載貨重量トン数,平均_積載率,平均_貨物の重量,平均_輸送距離,積地_経度,積地_緯度,揚地_経度,揚地_緯度
2024,広島県,福山港,福岡県,苅田港,14,435.0,1445.0,,,,,,,,,,,,,,,,,,,14.0,435.0,1445.0,,,,,,,30.319338444603208,1161.357142857143,149.71428571428572,141.56363,42.98566,141.33398,40.27981
2024,鹿児島県,志布志港,鹿児島県,谷山港,4,305.5,1041.25,,,,,,,,,,,,,,,,,,,4.0,305.5,1041.25,,,,,,,29.97524643770405,508.75,81.75,130.55734,31.59679,130.55734,31.59679
2023,大阪府,堺港,愛知県,豊橋港,32,330.3125,1066.3125,,,,,,,,,,,,,,,,,,,32.0,330.3125,1066.3125,,,,,,,31.33657886046497,563.90625,232.21875,140.36612,37.58281,136.90642,35.18143
2018,秋田県,秋田港,大阪府,泉北港,1,499.0,1700.0,,,,,,,,,,,,,,,,,,,1.0,499.0,1700.0,,,,,,,29.352941176470587,580.0,848.0,142.29948,44.80835,140.36612,37.58281
2020,茨城県,常陸那珂港,茨城県,鹿島港,25,569.0,1637.92,,,,,,,,,,,,,3.0,749.0,1829.3333333333333,,,,22.0,544.4545454545455,1611.8181818181818,,,,,,,34.44341383706562,348.0,25.24,140.47122,36.36586,140.47122,36.36586
2016,広島県,福山港,愛媛県,西条港,9,321.1111111111111,1081.111111111111,,,,,,,,,,,,,,,,,,,9.0,321.1111111111111,1081.111111111111,,,,,,,28.914675509144143,553.6666666666666,35.666666666666664,141.56363,42.98566,132.76555,33.83916
2017,北海道,十勝港,愛知県,知多港,1,498.0,1690.0,,,,,,,,,,,,,,,,,,,1.0,498.0,1690.0,,,,,,,29.467455621301774,1500.0,665.0,143.65858,42.80895,136.90642,35.18143
2022,北海道,苫小牧東港,青森県,八戸港,1,3634.0,6101.0,,,,1.0,3634.0,6101.0,,,,,,,,,,,,,,,,,,,,,,59.56400590067202,3052.0,130.0,141.6055,42.63409,140.74731,40.82236
2020,千葉県,五井港,茨城県,鹿島港,37,557.2972972972973,936.4324324324324,,,,,,,,,,,,,,,,,,,,,,37.0,557.2972972972973,936.4324324324324,,,,59.29118208762889,556.972973,159.94594594594594,140.10638,35.60733,140.47122,36.36586
2023,広島県,福山港,兵庫県,赤穂港,9,427.44444444444446,1421.111111111111,,,,,,,,,,,,,,,,,,,9.0,427.44444444444446,1421.111111111111,,,,,,,30.222609575249507,1117.7777777777778,59.55555555555556,141.56363,42.98566,139.89156,36.19485
