年度,モード,品目,発,北海道_着,青森県_着,岩手県_着,宮城県_着,福島県_着,秋田県_着,山形県_着,茨城県_着,栃木県_着,群馬県_着,埼玉県_着,千葉県_着,東京都_着,神奈川県_着,新潟県_着,富山県_着,石川県_着,福井県_着,山梨県_着,長野県_着,静岡県_着,岐阜県_着,愛知県_着,三重県_着,滋賀県_着,京都府_着,奈良県_着,和歌山県_着,大阪府_着,兵庫県_着,鳥取県_着,島根県_着,岡山県_着,広島県_着,山口県_着,香川県_着,愛媛県_着,徳島県_着,高知県_着,福岡県_着,佐賀県_着,長崎県_着,熊本県_着,大分県_着,宮崎県_着,鹿児島県_着,沖縄県_着
2019,海運,農産品,石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,鉄道,特殊品,徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,鉄道,その他,青森県,32708,1347,1428,38117,10112,801,1323,8746,3224,855,101571,2726,55640,10593,6017,6665,7480,1645,300,1914,5981,4829,22790,4930,0,7015,0,2635,61254,19296,1400,1650,7357,12209,2460,2905,2803,1035,2535,28301,9133,690,3744,3787,2160,2464,0
2022,鉄道,軽工業品,島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,自動車,農林水産,山形県,0,0,0,28241,69313,2956,1625515,0,20618,15607,214729,119063,240820,60812,2302,0,0,0,0,0,15607,0,1792,0,0,0,0,0,0,0,0,0,0,27612,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,自動車,鉱産品,滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22123,0,16738,0,0,0,16134,187483,624194,11147929,28327,0,47827,50709,47620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,海運,軽工業品,熊本県,0,0,0,0,0,0,0,0,0,0,0,0,11712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8106,6370,0,0,0,0,0,0,504,0,0,752,0,0,431,0,0,0,0
2021,海運,その他,長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12183,0,0,0,0,0
2020,鉄道,雑工業品,徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,鉄道,農産品,青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,自動車,雑工業品,鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49504,0,1017180,181022,14069,89982,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,鉄道,特殊品,京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,海運,金属・機械工業品,静岡県,66,0,0,330,0,83,0,180,0,0,0,1792,7082,9921,241,0,0,162,0,0,11025,0,22101,29058,0,0,0,0,1,326,0,0,0,45,0,0,0,0,0,33018,0,0,0,40040,50,0,0
2022,鉄道,鉱産品,山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,自動車,その他,愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,自動車,農産品,奈良県,0,0,0,0,0,0,0,0,0,0,0,0,2090,0,0,0,0,0,0,0,16726,7540,9164,85111,0,41850,395516,14167,48617,95047,0,0,8772,5410,0,0,0,0,0,14620,21479,0,0,0,0,0,0
2022,自動車,農産品,石川県,0,0,0,0,0,0,0,1537,11584,0,0,0,0,0,4728,127189,91756,26004,0,0,0,0,0,0,0,0,0,0,0,0,0,14184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,自動車,農産品,埼玉県,0,0,0,5643,0,0,0,636503,181691,183971,1346613,217858,750768,22275,0,0,0,0,6763,243,230622,0,17645,39498,0,33856,73062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,海運,鉱産品,兵庫県,9887,5770,1600,2122,0,0,0,1016,0,0,0,39550,0,0,29383,0,2967,6600,0,0,1300,0,1590,91348,0,300,0,516393,2679594,3560680,168880,8250,108481,126639,132308,283098,133854,217690,67927,259896,0,0,1700,116821,4900,0,2656
2019,鉄道,その他,栃木県,97740,10059,9006,9020,476,3182,1529,104,349,57,3167,36200,2786,84041,3483,645,2550,280,45,349,3785,2265,12902,7779,0,1856,0,182,42805,9472,1425,310,14797,27627,6264,4875,3710,510,530,78348,9320,2530,6385,4335,2370,7085,0
2018,自動車,鉱産品,宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20110,4245515,12079,0
2017,海運,その他,長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,海運,農林水産,福井県,12269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
